,LEA_STATE_NAME,LEAID,LEA_NAME,banned_books,LEA_ENR,SCH_FTETEACH_TOT,SATACT_P,APENR_P,P_EXPULSIONS,TOT_DIS_HB,TOT_RAC_HB,TOT_SEX_HB
0,FLORIDA,1200002,FL VIRTUAL,False,6748,0.008595139300533492,7.898636633076467,5.853586247777119,0.0,,,
1,FLORIDA,1200030,ALACHUA,False,29737,0.05711436930423378,7.694118438309178,8.037125466590442,0.016814070013787537,,,
2,FLORIDA,1200060,BAKER,False,5044,0.058540840602696265,8.068992862807296,0.7335448057097541,0.6938937351308485,,,
3,FLORIDA,1200090,BAY,False,28073,0.06195454707370071,7.020981013785487,7.9293271114594095,0.2956577494389627,,,
4,FLORIDA,1200120,BRADFORD,False,3214,0.05384256378344742,6.969508400746734,2.9558182949595517,0.3111387678904792,,,
5,FLORIDA,1200150,BREVARD,True,73465,0.062214387803716055,10.458041244129857,5.44476961818553,0.3266861770911318,,,
6,FLORIDA,1200180,BROWARD,True,271956,0.05601457588727588,10.682610422274191,6.853314506758446,0.1014870052508494,,,
7,FLORIDA,1200210,CALHOUN,False,2237,0.06063924899418865,7.599463567277604,0.6258381761287439,0.044702726866338846,,,
8,FLORIDA,1200240,CHARLOTTE,False,15901,0.0573542544494057,7.986919061694234,4.9682409911326335,0.22011194264511666,,,
9,FLORIDA,1200270,CITRUS,False,15542,0.0627737742890233,6.903873375369965,3.4808904902843905,0.3281430961266246,,,
10,FLORIDA,1200300,CLAY,True,37521,0.06754484155539564,9.181525012659577,7.020068761493564,0.4744010021054876,,,
11,FLORIDA,1200330,COLLIER,False,46832,0.05832272804919713,10.112743423300309,5.272036214554151,0.3907584557567475,,,
12,FLORIDA,1200360,COLUMBIA,False,10187,0.06243251202513007,8.481397860017669,6.478845587513497,0.009816432708353784,,,
13,FLORIDA,1200390,DADE,False,354832,0.054284844658880824,8.61196284438833,8.361703566758354,0.07017405420029761,,,
14,FLORIDA,1200420,DESOTO,False,4836,0.05934656741108354,7.320099255583126,3.184449958643507,0.39288668320926384,,,
15,FLORIDA,1200450,DIXIE,False,2187,0.05761316872427984,6.95016003657979,5.715592135345222,0.18289894833104708,,,
16,FLORIDA,1200480,DUVAL,True,129489,0.058097599023855306,9.1320498266262,6.558858281398421,0.22936311192456502,,,
17,FLORIDA,1200510,ESCAMBIA,True,40258,0.06506657061950419,8.934870087932833,6.274529286104626,0.5390232997168265,,,
18,FLORIDA,1200540,FLAGLER,True,13026,0.05685244894825733,9.903270382312298,5.512052817442039,0.023030861354214647,,,
19,FLORIDA,1200570,FRANKLIN,False,1305,0.05994636015325671,8.582375478927203,2.452107279693487,0.9195402298850575,,,
20,FLORIDA,1200600,GADSDEN,False,5317,0.06780139176227196,7.278540530374271,5.980816249764906,0.8839571186759451,,,
21,FLORIDA,1200630,GILCHRIST,False,2673,0.05997755331088664,7.631874298540965,1.122334455667789,0.411522633744856,,,
22,FLORIDA,1200660,GLADES,False,1675,0.08656716417910448,5.850746268656716,,0.0,,,
23,FLORIDA,1200690,GULF,False,1977,0.06064744562468387,8.598887202832575,,0.05058168942842691,,,
24,FLORIDA,1200720,HAMILTON,False,1651,0.06117504542701393,8.540278619018776,1.2719563900666264,0.24227740763173833,,,
25,FLORIDA,1200750,HARDEE,False,5206,0.05229542835190165,6.1083365347675755,2.247406838263542,3.803303880138302,,,
26,FLORIDA,1200780,HENDRY,False,7322,0.034475553127560774,10.693799508331058,7.0745697896749515,0.5599562960939634,,,
27,FLORIDA,1200810,HERNANDO,True,22445,0.0621465805301849,7.248830474493205,4.286032523947427,0.0311873468478503,,,
28,FLORIDA,1200840,HIGHLANDS,True,12398,0.05654137764155509,9.05791256654299,5.073398935312147,0.06452653653815131,,,
29,FLORIDA,1200870,HILLSBOROUGH,False,216924,0.06517213401928786,10.332190075786912,8.810919953532112,0.16365178587892534,,,
30,FLORIDA,1200900,HOLMES,False,3276,0.06858058608058609,5.982905982905983,0.7936507936507936,0.4578754578754579,,,
31,FLORIDA,1200930,INDIAN RIVER,True,17792,0.06337398830935252,10.870053956834532,8.498201438848922,0.0,,,
32,FLORIDA,1200960,JACKSON,True,6646,0.0673818838399037,8.140234727655733,0.7974721637074932,5.100812518808306,,,
33,FLORIDA,1200990,JEFFERSON,False,726,0.0747245179063361,6.749311294765841,9.366391184573002,0.9641873278236914,,,
34,FLORIDA,1201020,LAFAYETTE,False,1216,0.06085526315789474,6.496710526315789,,0.1644736842105263,,,
35,FLORIDA,1201050,LAKE,True,43174,0.061320702274517074,9.596053180154723,8.947514707926068,0.17139945337471627,,,
36,FLORIDA,1201080,LEE,True,93221,0.059075101103828534,7.607727872475086,5.171581510603834,0.4054880338121239,,,
37,FLORIDA,1201110,LEON,False,34232,0.05757127833605983,7.078172470203318,10.314910025706942,0.0,,,
38,FLORIDA,1201140,LEVY,False,5576,0.05915889526542324,7.711621233859398,2.994978479196557,0.3586800573888092,,,
39,FLORIDA,1201170,LIBERTY,False,1422,0.0689732770745429,7.172995780590717,0.2812939521800281,0.35161744022503516,,,
40,FLORIDA,1201200,MADISON,False,2785,0.06068222621184919,10.017953321364452,,0.03590664272890485,,,
41,FLORIDA,1201230,MANATEE,True,48893,0.055270284089747,5.9742703454482236,5.0498026302333665,0.0224981081136359,,,
42,FLORIDA,1201260,MARION,False,43087,0.056984937452131734,7.231879685287907,3.490612017545895,0.21352147979669042,,,
43,FLORIDA,1201290,MARTIN,False,18807,0.06199447014409529,9.241239963843249,7.970436539586324,0.0638060296698038,,,
