,LEA_STATE_NAME,LEAID,LEA_NAME,LEA_ENR,banned_books,SCH_FTETEACH_TOT,NMCNTY,County Name,overall_TPI,Closest_Match,Median Household Income,School District,dist_key
32,TEXAS,4800053,INSPIRE ACADEMIES,861,False,0.08478513356562137,bexar,bexar,-0.5700000000000001,MILES,47273.0,"Miles Independent School District / 2,221",MILES
33,TEXAS,4800055,LIFE SCHOOL,5662,False,0.06446132108795478,dallas,dallas,-0.63,STEPHENVILLE INDEPENDENT SCHOOL DISTICT (9-12) IN BLUFF DALE,57083.0,Stephenville Independent School Distict (9-12) in Bluff Dale / 915,STEPHENVILLE INDEPENDENT SCHOOL DISTICT (9-12) IN BLUFF DALE
34,TEXAS,4800058,NYOS CHARTER SCHOOL,996,False,0.0823293172690763,travis,travis,-0.7050000000000001,HART,43523.0,"Hart Independent School District / 1,534",HART
35,TEXAS,4800059,POSITIVE SOLUTIONS CHARTER SCHOOL,125,False,0.08,bexar,bexar,-0.5700000000000001,STEPHENVILLE INDEPENDENT SCHOOL DISTICT (9-12) IN BLUFF DALE,57083.0,Stephenville Independent School Distict (9-12) in Bluff Dale / 915,STEPHENVILLE INDEPENDENT SCHOOL DISTICT (9-12) IN BLUFF DALE
36,TEXAS,4800061,NEW FRONTIERS PUBLIC SCHOOLS INC,714,False,0.07142857142857142,bexar,bexar,-0.5700000000000001,NEW HOME,63542.0,New Home Independent School District / 883,NEW HOME
37,TEXAS,4800062,SCHOOL OF EXCELLENCE IN EDUCATION,673,False,0.07052005943536405,bexar,bexar,-0.5700000000000001,STEPHENVILLE INDEPENDENT SCHOOL DISTICT (9-12) IN BLUFF DALE,57083.0,Stephenville Independent School Distict (9-12) in Bluff Dale / 915,STEPHENVILLE INDEPENDENT SCHOOL DISTICT (9-12) IN BLUFF DALE
38,TEXAS,4800063,SOUTHWEST PREPARATORY SCHOOL,884,False,0.07631221719457014,bexar,bexar,-0.5700000000000001,WEST,48673.0,"West Independent School District / 7,859",WEST
39,TEXAS,4800064,CHAPARRAL STAR ACADEMY,380,False,0.07894736842105263,travis,travis,-0.7050000000000001,ACADEMY,62772.0,"Academy Independent School District / 5,003",ACADEMY
40,TEXAS,4800065,HORIZON MONTESSORI PUBLIC SCHOOLS,1237,False,0.08973322554567502,hidalgo,hidalgo,-0.625,,,,
41,TEXAS,4800066,TEXAS EMPOWERMENT ACADEMY,341,False,0.07038123167155426,travis,travis,-0.7050000000000001,ACADEMY,62772.0,"Academy Independent School District / 5,003",ACADEMY
42,TEXAS,4800068,TREETOPS SCHOOL INTERNATIONAL,381,False,0.08706036745406824,tarrant,tarrant,0.53,STEPHENVILLE INDEPENDENT SCHOOL DISTICT (9-12) IN BLUFF DALE,57083.0,Stephenville Independent School Distict (9-12) in Bluff Dale / 915,STEPHENVILLE INDEPENDENT SCHOOL DISTICT (9-12) IN BLUFF DALE
43,TEXAS,4800069,TWO DIMENSIONS PREPARATORY ACADEMY,524,False,0.05343511450381679,harris,harris,-0.54,ACADEMY,62772.0,"Academy Independent School District / 5,003",ACADEMY
44,TEXAS,4800070,UNIVERSAL ACADEMY,2162,False,0.061517113783533764,dallas,dallas,-0.63,ACADEMY,62772.0,"Academy Independent School District / 5,003",ACADEMY
45,TEXAS,4800071,UNIVERSITY OF TEXAS UNIVERSITY CHARTER SCHOOL,638,False,0.11912225705329153,travis,travis,-0.7050000000000001,TEXAS CITY,46297.0,"Texas City Independent School District / 27,678",TEXAS CITY
46,TEXAS,4800072,NOVA ACADEMY,182,False,0.06043956043956044,dallas,dallas,-0.63,ACADEMY,62772.0,"Academy Independent School District / 5,003",ACADEMY
47,TEXAS,4800073,THE VARNETT PUBLIC SCHOOL,1453,False,0.054686854783207166,harris,harris,-0.54,STEPHENVILLE INDEPENDENT SCHOOL DISTICT (9-12) IN BLUFF DALE,57083.0,Stephenville Independent School Distict (9-12) in Bluff Dale / 915,STEPHENVILLE INDEPENDENT SCHOOL DISTICT (9-12) IN BLUFF DALE
48,TEXAS,4800074,PINEYWOODS COMMUNITY ACADEMY,1020,False,0.061764705882352944,angelina,angelina,0.75,COMMUNITY,73422.0,"Community Independent School District / 9,743",COMMUNITY
49,TEXAS,4800075,RICHARD MILBURN ALTER HIGH SCHOOL (KILLEEN),2194,False,0.032520510483135825,harris,harris,-0.54,KILLEEN,49656.0,"Killeen Independent School District / 205,283",KILLEEN
50,TEXAS,4800076,PRIORITY CHARTER SCHOOLS,960,False,0.07591666666666666,williamson,williamson,0.52,HART,43523.0,"Hart Independent School District / 1,534",HART
51,TEXAS,4800077,BEXAR COUNTY ACADEMY,373,False,0.07908847184986595,bexar,bexar,-0.5700000000000001,ACADEMY,62772.0,"Academy Independent School District / 5,003",ACADEMY
52,TEXAS,4800080,HERITAGE ACADEMY,508,False,0.0625,bexar,bexar,-0.5700000000000001,ACADEMY,62772.0,"Academy Independent School District / 5,003",ACADEMY
53,TEXAS,4800086,BRAZOS SCHOOL FOR INQUIRY & CREATIVITY,394,False,0.07588832487309645,brazos,brazos,0.61,BRAZOS,51528.0,"Brazos Independent School District / 3,840",BRAZOS
54,TEXAS,4800089,LUMIN EDUCATION,299,False,0.05351170568561873,dallas,dallas,-0.63,,,,
55,TEXAS,4800090,ACADEMY OF DALLAS,432,False,0.05092592592592592,dallas,dallas,-0.63,ACADEMY,62772.0,"Academy Independent School District / 5,003",ACADEMY
56,TEXAS,4800092,TRINITY BASIN PREPARATORY,2958,False,0.06727518593644355,dallas,dallas,-0.63,TRINITY,36688.0,"Trinity Independent School District / 7,264",TRINITY
57,TEXAS,4800093,ACADEMY FOR ACADEMIC EXCELLENCE,521,False,0.11132437619961612,dallas,dallas,-0.63,ACADEMY,62772.0,"Academy Independent School District / 5,003",ACADEMY
