,LEAID,LEA_NAME,LEA_STATE_NAME,Title,Author,Type of Ban,Date of Challenge/Removal,Origin of Challenge,Series Name,Ban Status
0,1200930,INDIAN RIVER,FLORIDA,Ace of Spades,"Àbíké-Íyímídé, Faridah",Banned in Libraries and Classrooms,Nov-21,Administrator,,
1,4205490,Central York SD,PENNSYLVANIA,Clap When You Land,"Acevedo, Elizabeth",Banned in Classrooms,Aug-21,Administrator,,
2,1200930,INDIAN RIVER,FLORIDA,The Poet X,"Acevedo, Elizabeth",Banned in Libraries,Nov-21,Administrator,,
3,3618570,MARLBORO CENTRAL SCHOOL DISTRICT,NEW YORK,The Poet X,"Acevedo, Elizabeth",Banned in Libraries and Classrooms,Feb-22,Administrator,,
4,4819840,FREDERICKSBURG ISD,TEXAS,The Poet X,"Acevedo, Elizabeth",Banned Pending Investigation,Mar-22,Administrator,,
5,5102610,NEW KENT CO PBLC SCHS,VIRGINIA,The Poet X,"Acevedo, Elizabeth",Banned in Libraries,Oct-21,Administrator,,
6,5103640,SPOTSYLVANIA CO PBLC SCHS,VIRGINIA,Call Me By Your Name (Call Me By Your Name Series),"Aciman, André",Banned Pending Investigation,Nov-21,Administrator,,
7,1200930,INDIAN RIVER,FLORIDA,"How I Paid for College: A Novel of Sex, Theft, Friendship & Musical Theater (Edward Zanni Series)","Acito, Marc",Banned Pending Investigation,Nov-21,Administrator,,
8,1200480,DUVAL,FLORIDA,My Name Is María Isabel,"Ada, Alma Flor",Banned Pending Investigation,Jan-22,Administrator,,
9,1200480,DUVAL,FLORIDA,Time to Pray,"Addasi, Maha",Banned Pending Investigation,Jan-22,Administrator,,
10,4825170,KATY ISD,TEXAS,Children of Blood and Bone (Legacy of Orïsha Series),"Adeyemi, Tomi",Banned Pending Investigation,Jan-22,Administrator,,
11,4205490,Central York SD,PENNSYLVANIA,"47,000 Beads","Adeyoha, Koja",Banned in Classrooms,Aug-21,Administrator,,
12,2618840,Hudsonville Public School District,MICHIGAN,Half of a Yellow Sun,"Adichie, Chimamanda Ngozi",Banned in Classrooms,Jan-22,Formal Challenge,,
13,4700149,Collierville,TENNESSEE,Cool for the Summer,"Adler, Dahlia",Banned Pending Investigation,Feb-22,Administrator,,
14,4832940,NORTH EAST ISD,TEXAS,The Accidental Adventures of India McAllister,"Agell, Charlotte",Banned in Libraries,Dec-21,Administrator,,
15,4700149,Collierville,TENNESSEE,How It All Blew Up,"Ahmadi, Arvin",Banned Pending Investigation,Feb-22,Administrator,,
16,4832940,NORTH EAST ISD,TEXAS,How It All Blew Up,"Ahmadi, Arvin",Banned Pending Investigation,Dec-21,Administrator,,
17,4205490,Central York SD,PENNSYLVANIA,Mae Among the Stars,"Ahmed, Roda",Banned in Classrooms,Aug-21,Administrator,,
18,2802790,MADISON CO SCHOOL DIST,MISSISSIPPI,"Love, Hate & Other Filters","Ahmed, Samira",Banned in Libraries,Apr-22,Administrator,,
19,5515780,Waukesha School District,WISCONSIN,"Love, Hate & Other Filters","Ahmed, Samira",Banned in Libraries,Dec-21,Administrator,,
20,4205490,Central York SD,PENNSYLVANIA,Being the Change: Lessons and Strategies to Teach Social Comprehension,"Ahmed, Sara K.",Banned in Classrooms,Aug-21,Administrator,,
21,4832940,NORTH EAST ISD,TEXAS,Being the Change: Lessons and Strategies to Teach Social Comprehension,"Ahmed, Sara K.",Banned Pending Investigation,Dec-21,Administrator,,
22,4700149,Collierville,TENNESSEE,Here's to Us,"Albertalli, Becky",Banned Pending Investigation,Feb-22,Administrator,,
23,4700149,Collierville,TENNESSEE,Kate in Waiting,"Albertalli, Becky",Banned Pending Investigation,Feb-22,Administrator,,
24,1602340,NAMPA SCHOOL DISTRICT,IDAHO,Leah on the Offbeat (Simonverse Series),"Albertalli, Becky",Banned in Libraries and Classrooms,May-22,Administrator,,
25,4700149,Collierville,TENNESSEE,Leah on the Offbeat (Simonverse Series),"Albertalli, Becky",Banned Pending Investigation,Feb-22,Administrator,,
26,4832940,NORTH EAST ISD,TEXAS,"Love, Creekwood: A Simonverse Novella (Simonverse Series)","Albertalli, Becky",Banned in Libraries,Dec-21,Administrator,,
27,4700149,Collierville,TENNESSEE,Simon vs. the Homo Sapiens Agenda (Simonverse Series),"Albertalli, Becky",Banned Pending Investigation,Feb-22,Administrator,,
28,4821390,GRANBURY ISD,TEXAS,Simon vs. the Homo Sapiens Agenda (Simonverse Series),"Albertalli, Becky",Banned Pending Investigation,Jan-22,Administrator,,
29,4832940,NORTH EAST ISD,TEXAS,Simon vs. the Homo Sapiens Agenda (Simonverse Series),"Albertalli, Becky",Banned Pending Investigation,Dec-21,Administrator,,
30,4700149,Collierville,TENNESSEE,The Upside of Unrequited (Simonverse Series),"Albertalli, Becky",Banned Pending Investigation,Feb-22,Administrator,,
31,4821390,GRANBURY ISD,TEXAS,The Upside of Unrequited (Simonverse Series),"Albertalli, Becky",Banned Pending Investigation,Jan-22,Administrator,,
32,4832940,NORTH EAST ISD,TEXAS,The Upside of Unrequited (Simonverse Series),"Albertalli, Becky",Banned Pending Investigation,Dec-21,Administrator,,
33,4700149,Collierville,TENNESSEE,What If It's Us (What If It's Us Series),"Albertalli, Becky",Banned Pending Investigation,Feb-22,Administrator,,
34,4821390,GRANBURY ISD,TEXAS,What If It's Us (What If It's Us Series),"Albertalli, Becky",Banned Pending Investigation,Jan-22,Administrator,,
35,4832940,NORTH EAST ISD,TEXAS,What If It's Us (What If It's Us Series),"Albertalli, Becky",Banned Pending Investigation,Dec-21,Administrator,,
36,4700149,Collierville,TENNESSEE,Indivisible,"Aleman, Daniel",Banned Pending Investigation,Feb-22,Administrator,,
37,4205490,Central York SD,PENNSYLVANIA,The Undefeated,"Alexander, Kwame",Banned in Classrooms,Aug-21,Administrator,,
38,4205490,Central York SD,PENNSYLVANIA,The New Jim Crow: Mass Incarceration in the Age of Colorblindness,"Alexander, Michelle",Banned in Classrooms,Aug-21,Administrator,,
39,4825740,KLEIN ISD,TEXAS,The New Jim Crow: Mass Incarceration in the Age of Colorblindness,"Alexander, Michelle",Banned Pending Investigation,Dec-21,Administrator,,
40,4832940,NORTH EAST ISD,TEXAS,The New Jim Crow: Mass Incarceration in the Age of Colorblindness,"Alexander, Michelle",Banned Pending Investigation,Dec-21,Administrator,,
41,1200930,INDIAN RIVER,FLORIDA,The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",Banned in Libraries,Nov-21,Administrator,,
42,1200960,JACKSON,FLORIDA,The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",Banned in Libraries and Classrooms,Apr-22,Administrator,,
43,1201080,LEE,FLORIDA,The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",Banned in Libraries and Classrooms,Mar-22,Administrator,,
44,1201650,SANTA ROSA,FLORIDA,The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",Banned Pending Investigation,Apr-22,Administrator,,
45,1201770,ST. LUCIE,FLORIDA,The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",Banned in Libraries,Jan-22,Formal Challenge,,
46,1201980,WALTON,FLORIDA,The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",Banned Pending Investigation,Apr-22,Administrator,,
47,1302220,Forsyth County,GEORGIA,The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",Banned in Libraries,Jan-22,Administrator,,
48,1602340,NAMPA SCHOOL DISTRICT,IDAHO,The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",Banned in Libraries and Classrooms,May-22,Administrator,,
49,1903690,Ankeny Comm School District,IOWA,The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",Banned in Libraries,Nov-21,Formal Challenge,,
50,1922110,Ottumwa Comm School District,IOWA,The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",Banned Pending Investigation,Apr-22,Administrator,,
51,2005460,Derby,KANSAS,The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",Banned in Libraries and Classrooms,Nov-21,Formal Challenge,,
52,2006540,Goddard,KANSAS,The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",Banned Pending Investigation,Nov-21,Administrator,,
53,2615990,Gladwin Community Schools,MICHIGAN,The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",Banned Pending Investigation,May-22,Administrator,,
54,2802790,MADISON CO SCHOOL DIST,MISSISSIPPI,The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",Banned in Libraries,Apr-22,Administrator,,
55,4005460,BRISTOW,OKLAHOMA,The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",Banned Pending Investigation,Oct-21,Administrator,,
56,4819840,FREDERICKSBURG ISD,TEXAS,The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",Banned Pending Investigation,Mar-22,Administrator,,
57,1200480,DUVAL,FLORIDA,Thunder Boy Jr.,"Alexie, Sherman",Banned Pending Investigation,Jan-22,Administrator,,
58,1200930,INDIAN RIVER,FLORIDA,Girls Like Us (2019),"Alger, Cristina",Banned in Libraries,Nov-21,Administrator,,
59,4205490,Central York SD,PENNSYLVANIA,The Case for Loving: The Fight for Interracial Marriage,"Alko, Selina",Banned in Classrooms,Aug-21,Administrator,,
60,1200930,INDIAN RIVER,FLORIDA,The House of the Spirits,"Allende, Isabel",Banned Pending Investigation,Nov-21,Administrator,,
61,4700149,Collierville,TENNESSEE,The Ballad of Ami Miles,"Alley, Kristy Dallas",Banned Pending Investigation,Feb-22,Administrator,,
62,1200930,INDIAN RIVER,FLORIDA,Hear These Voices: Youth at the Edge of the Millennium,"Allison, Anthony",Banned Pending Investigation,Nov-21,Administrator,,
63,4205490,Central York SD,PENNSYLVANIA,A is for Audra: Broadway's Leading Ladies from A to Z,"Allman, John Robert",Banned in Classrooms,Aug-21,Administrator,,
64,4821390,GRANBURY ISD,TEXAS,"Bioethics: Who Lives, Who Dies, And Who Decides?","Altman, Linda Jacobs",Banned Pending Investigation,Jan-22,Administrator,,
65,4832940,NORTH EAST ISD,TEXAS,"Bioethics: Who Lives, Who Dies, And Who Decides?","Altman, Linda Jacobs",Banned in Libraries,Dec-21,Administrator,,
66,4205490,Central York SD,PENNSYLVANIA,We Are All Born Free: The Universal Declaration of Human Rights in Pictures,Amnesty International,Banned in Classrooms,Aug-21,Administrator,,
67,4005460,BRISTOW,OKLAHOMA,"Bless Me, Ultima","Anaya, Rudolfo",Banned Pending Investigation,Oct-21,Administrator,,
68,4700149,Collierville,TENNESSEE,The Weight of the Stars,"Ancrum, K.",Banned Pending Investigation,Feb-22,Administrator,,
69,4700149,Collierville,TENNESSEE,Victories Greater Than Death (Unstoppable Series),"Anders, Charlie Jane",Banned Pending Investigation,Feb-22,Administrator,,
70,1200480,DUVAL,FLORIDA,Neither,"Anderson, Airlie",Banned Pending Investigation,Jan-22,Administrator,,
71,4205490,Central York SD,PENNSYLVANIA,White Rage: The Unspoken Truth of Our Racial Divide,"Anderson, Carol",Banned in Classrooms,Aug-21,Administrator,,
72,4821390,GRANBURY ISD,TEXAS,Shout,"Anderson, Laurie Halse",Banned Pending Investigation,Jan-22,Administrator,,
73,4827030,LEANDER ISD,TEXAS,Shout,"Anderson, Laurie Halse",Banned in Classrooms,Sep-21,Administrator,,
74,4832940,NORTH EAST ISD,TEXAS,Shout,"Anderson, Laurie Halse",Banned Pending Investigation,Dec-21,Administrator,,
75,1200540,FLAGLER,FLORIDA,Speak,"Anderson, Laurie Halse",Banned Pending Investigation,Nov-21,Administrator,,
76,1200930,INDIAN RIVER,FLORIDA,Speak,"Anderson, Laurie Halse",Banned Pending Investigation,Nov-21,Administrator,,
77,1602340,NAMPA SCHOOL DISTRICT,IDAHO,Speak,"Anderson, Laurie Halse",Banned in Libraries and Classrooms,May-22,Administrator,,
78,2615990,Gladwin Community Schools,MICHIGAN,Speak,"Anderson, Laurie Halse",Banned Pending Investigation,May-22,Administrator,,
79,2802790,MADISON CO SCHOOL DIST,MISSISSIPPI,Speak,"Anderson, Laurie Halse",Banned in Libraries,Apr-22,Administrator,,
80,4005460,BRISTOW,OKLAHOMA,Speak,"Anderson, Laurie Halse",Banned in Libraries,Oct-21,Administrator,,
81,1200930,INDIAN RIVER,FLORIDA,Feed,"Anderson, M. T.",Banned Pending Investigation,Nov-21,Administrator,,
82,4832940,NORTH EAST ISD,TEXAS,Some Assembly Required: The Not-So-Secret Life of a Transgender Teen,"Andrews, Arin",Banned Pending Investigation,Dec-21,Administrator,,
83,1200930,INDIAN RIVER,FLORIDA,Me and Earl and the Dying Girl,"Andrews, Jesse",Banned in Libraries and Classrooms,Nov-21,Administrator,,
84,1201470,OSCEOLA,FLORIDA,Me and Earl and the Dying Girl,"Andrews, Jesse",Banned Pending Investigation,Apr-22,Administrator,,
85,1302220,Forsyth County,GEORGIA,Me and Earl and the Dying Girl,"Andrews, Jesse",Banned in Libraries and Classrooms,Jan-22,Administrator,,
86,1903690,Ankeny Comm School District,IOWA,Me and Earl and the Dying Girl,"Andrews, Jesse",Banned in Libraries,Nov-21,Formal Challenge,,
87,4207710,Downingtown Area SD,PENNSYLVANIA,Me and Earl and the Dying Girl,"Andrews, Jesse",Banned Pending Investigation,Oct-21,Administrator,,
88,4209120,Elizabethtown Area SD,PENNSYLVANIA,Me and Earl and the Dying Girl,"Andrews, Jesse",Banned Pending Investigation,Apr-22,Formal Challenge,,
89,4700300,Blount County,TENNESSEE,Me and Earl and the Dying Girl,"Andrews, Jesse",Banned in Libraries,Nov-21,Formal Challenge,,
90,4816110,CYPRESS-FAIRBANKS ISD,TEXAS,Me and Earl and the Dying Girl,"Andrews, Jesse",Banned in Libraries,Jan-22,Administrator,,
91,4819840,FREDERICKSBURG ISD,TEXAS,Me and Earl and the Dying Girl,"Andrews, Jesse",Banned in Libraries and Classrooms,Mar-22,Administrator,,
92,4821390,GRANBURY ISD,TEXAS,Me and Earl and the Dying Girl,"Andrews, Jesse",Banned Pending Investigation,Jan-22,Administrator,,
93,4825170,KATY ISD,TEXAS,Me and Earl and the Dying Girl,"Andrews, Jesse",Banned in Libraries and Classrooms,Nov-21,Administrator,,
94,4825260,KELLER ISD,TEXAS,Me and Earl and the Dying Girl,"Andrews, Jesse",Banned in Libraries,Nov-21,Formal Challenge,,
95,4826580,LAMAR CISD,TEXAS,Me and Earl and the Dying Girl,"Andrews, Jesse",Banned Pending Investigation,Dec-21,Administrator,,
96,4832940,NORTH EAST ISD,TEXAS,Me and Earl and the Dying Girl,"Andrews, Jesse",Banned Pending Investigation,Dec-21,Administrator,,
97,1200150,BREVARD,FLORIDA,The Haters,"Andrews, Jesse",Banned Pending Investigation,Mar-22,Administrator,,
98,1200930,INDIAN RIVER,FLORIDA,The Haters,"Andrews, Jesse",Banned in Libraries,Nov-21,Administrator,,
99,2629940,Rochester Community School District,MICHIGAN,The Haters,"Andrews, Jesse",Banned Pending Investigation,Apr-22,Administrator,,
100,4205490,Central York SD,PENNSYLVANIA,The 5 O'Clock Band,"Andrews, Troy",Banned in Classrooms,Aug-21,Administrator,,
101,4205490,Central York SD,PENNSYLVANIA,Trombone Shorty,"Andrews, Troy",Banned in Classrooms,Aug-21,Administrator,,
102,4825740,KLEIN ISD,TEXAS,And Still I Rise,"Angelou, Maya",Banned Pending Investigation,Dec-21,Administrator,,
103,4005460,BRISTOW,OKLAHOMA,I Know Why The Caged Bird Sings,"Angelou, Maya",Banned in Libraries and Classrooms,Oct-21,Administrator,,
104,4010590,EDMOND,OKLAHOMA,I Know Why The Caged Bird Sings,"Angelou, Maya",Banned in Libraries and Classrooms,Oct-21,Administrator,,
105,2931650,WENTZVILLE R-IV,MISSOURI,Modern Romance: An Investigation,"Ansari, Aziz",Banned Pending Investigation,Oct-21,Formal Challenge,,
106,4825170,KATY ISD,TEXAS,Duels and Deception,"Anstey, Cindy",Banned in Libraries,Apr-22,Administrator,,
107,4832940,NORTH EAST ISD,TEXAS,LGBTQ Families: The Ultimate Teen Guide,"Apelqvist, Eva",Banned Pending Investigation,Dec-21,Administrator,,
108,1200930,INDIAN RIVER,FLORIDA,Wishtree,"Applegate, Katherine",Banned in Libraries and Classrooms,Nov-21,Administrator,,
109,4821390,GRANBURY ISD,TEXAS,Meet Cute: Some People Are Destined to Meet,"Armentrout, Jennifer L.",Banned Pending Investigation,Jan-22,Administrator,,
110,4205490,Central York SD,PENNSYLVANIA,A Boy Called Bat (A Boy Called Bat Series),"Arnold, Elana K.",Banned in Classrooms,Aug-21,Administrator,,
111,4205490,Central York SD,PENNSYLVANIA,Bat and the End of Everything (A Boy Called Bat Series),"Arnold, Elana K.",Banned in Classrooms,Aug-21,Administrator,,
112,4205490,Central York SD,PENNSYLVANIA,Bat and the Waiting Game (A Boy Called Bat Series),"Arnold, Elana K.",Banned in Classrooms,Aug-21,Administrator,,
113,1200150,BREVARD,FLORIDA,Damsel,"Arnold, Elana K.",Banned Pending Investigation,Mar-22,Administrator,,
114,1200150,BREVARD,FLORIDA,Infandous,"Arnold, Elana K.",Banned Pending Investigation,Mar-22,Administrator,,
115,4005460,BRISTOW,OKLAHOMA,Infandous,"Arnold, Elana K.",Banned in Libraries,Oct-21,Administrator,,
116,1200150,BREVARD,FLORIDA,Red Hood,"Arnold, Elana K.",Banned Pending Investigation,Mar-22,Administrator,,
117,1200150,BREVARD,FLORIDA,What Girls Are Made Of,"Arnold, Elana K.",Banned Pending Investigation,Mar-22,Administrator,,
118,4816110,CYPRESS-FAIRBANKS ISD,TEXAS,What Girls Are Made Of,"Arnold, Elana K.",Banned in Libraries and Classrooms,Apr-22,Administrator,,
119,4820010,FRISCO ISD,TEXAS,What Girls Are Made Of,"Arnold, Elana K.",Banned in Libraries and Classrooms,May-22,Administrator,,
120,3905002,Hudson City,OHIO,A Girl on the Shore,"Asano, Inio",Banned in Libraries and Classrooms,Sep-21,Administrator,,
121,1200930,INDIAN RIVER,FLORIDA,Thirteen Reasons Why,"Asher, Jay",Banned Pending Investigation,Nov-21,Administrator,,
122,1200960,JACKSON,FLORIDA,Thirteen Reasons Why,"Asher, Jay",Banned in Libraries and Classrooms,Apr-22,Administrator,,
123,1201080,LEE,FLORIDA,Thirteen Reasons Why,"Asher, Jay",Banned in Libraries,May-22,Administrator,,
124,1201590,POLK,FLORIDA,Thirteen Reasons Why,"Asher, Jay",Banned in Libraries,Jan-22,Administrator,,
125,1201650,SANTA ROSA,FLORIDA,Thirteen Reasons Why,"Asher, Jay",Banned Pending Investigation,Apr-22,Administrator,,
126,1201740,ST. JOHNS,FLORIDA,Thirteen Reasons Why,"Asher, Jay",Banned in Libraries,May-22,Formal Challenge,,
127,1201770,ST. LUCIE,FLORIDA,Thirteen Reasons Why,"Asher, Jay",Banned in Libraries,Dec-21,Formal Challenge,,
128,1201980,WALTON,FLORIDA,Thirteen Reasons Why,"Asher, Jay",Banned Pending Investigation,Apr-22,Administrator,,
129,1602340,NAMPA SCHOOL DISTRICT,IDAHO,Thirteen Reasons Why,"Asher, Jay",Banned in Libraries and Classrooms,May-22,Administrator,,
130,2615990,Gladwin Community Schools,MICHIGAN,Thirteen Reasons Why,"Asher, Jay",Banned Pending Investigation,May-22,Administrator,,
131,4819840,FREDERICKSBURG ISD,TEXAS,Thirteen Reasons Why,"Asher, Jay",Banned Pending Investigation,Mar-22,Administrator,,
132,4825170,KATY ISD,TEXAS,Thirteen Reasons Why,"Asher, Jay",Banned in Libraries,Oct-21,Administrator,,
133,4205490,Central York SD,PENNSYLVANIA,Anna Hibiscus (Anna Hibiscus Series),Atinuke,Banned in Classrooms,Aug-21,Administrator,,
134,1200930,INDIAN RIVER,FLORIDA,The Black Flamingo,"Atta, Dean",Banned Pending Investigation,Nov-21,Administrator,,
135,4700149,Collierville,TENNESSEE,The Black Flamingo,"Atta, Dean",Banned Pending Investigation,Feb-22,Administrator,,
136,4832940,NORTH EAST ISD,TEXAS,The Black Flamingo,"Atta, Dean",Banned Pending Investigation,Dec-21,Administrator,,
137,1200930,INDIAN RIVER,FLORIDA,The Handmaid's Tale,"Atwood, Margaret",Banned Pending Investigation,Nov-21,Administrator,,
138,1302220,Forsyth County,GEORGIA,The Handmaid's Tale,"Atwood, Margaret",Banned in Libraries,Jan-22,Administrator,,
139,1602340,NAMPA SCHOOL DISTRICT,IDAHO,The Handmaid's Tale,"Atwood, Margaret",Banned in Libraries and Classrooms,May-22,Administrator,,
140,2006540,Goddard,KANSAS,The Handmaid's Tale,"Atwood, Margaret",Banned Pending Investigation,Nov-21,Administrator,,
141,2615990,Gladwin Community Schools,MICHIGAN,The Handmaid's Tale,"Atwood, Margaret",Banned Pending Investigation,May-22,Administrator,,
142,2629940,Rochester Community School District,MICHIGAN,The Handmaid's Tale,"Atwood, Margaret",Banned Pending Investigation,Apr-22,Administrator,,
143,4819840,FREDERICKSBURG ISD,TEXAS,The Handmaid's Tale,"Atwood, Margaret",Banned Pending Investigation,Mar-22,Administrator,,
144,4825740,KLEIN ISD,TEXAS,The Handmaid's Tale,"Atwood, Margaret",Banned Pending Investigation,Nov-21,Administrator,,
145,4832940,NORTH EAST ISD,TEXAS,The Handmaid's Tale,"Atwood, Margaret",Banned Pending Investigation,Dec-21,Administrator,,
146,2006540,Goddard,KANSAS,The Handmaid's Tale: The Graphic Novel,"Atwood, Margaret",Banned Pending Investigation,Nov-21,Administrator,,
147,4108040,Medford SD 549C,OREGON,The Handmaid's Tale: The Graphic Novel,"Atwood, Margaret",Banned in Libraries,Apr-22,Formal Challenge,,
148,4827030,LEANDER ISD,TEXAS,The Handmaid's Tale: The Graphic Novel,"Atwood, Margaret",Banned in Classrooms,Sep-21,Administrator,,
149,4832940,NORTH EAST ISD,TEXAS,The Handmaid's Tale: The Graphic Novel,"Atwood, Margaret",Banned Pending Investigation,Dec-21,Administrator,,
150,2006540,Goddard,KANSAS,The Testaments,"Atwood, Margaret",Banned Pending Investigation,Nov-21,Administrator,,
151,4819840,FREDERICKSBURG ISD,TEXAS,The Testaments,"Atwood, Margaret",Banned Pending Investigation,Mar-22,Administrator,,
152,4832940,NORTH EAST ISD,TEXAS,Raise the Stakes,"Atwood, Megan",Banned in Libraries,Dec-21,Administrator,,
153,1201080,LEE,FLORIDA,Worm Loves Worm,"Austrian, J.J.",Banned in Classrooms,Mar-22,Administrator,,
154,1201980,WALTON,FLORIDA,Worm Loves Worm,"Austrian, J.J.",Banned Pending Investigation,Apr-22,Administrator,,
155,4700149,Collierville,TENNESSEE,Rising Out,"Azmitia, M.",Banned Pending Investigation,Feb-22,Administrator,,
156,4832940,NORTH EAST ISD,TEXAS,"Sex, Puberty, and All That Stuff: A Guide to Growing Up","Bailey, Jacqui",Banned in Libraries,Dec-21,Administrator,,
157,4205490,Central York SD,PENNSYLVANIA,Morris Micklewhite and the Tangerine Dress,"Baldacchino, Christine",Banned in Classrooms,Aug-21,Administrator,,
158,4832940,NORTH EAST ISD,TEXAS,Morris Micklewhite and the Tangerine Dress,"Baldacchino, Christine",Banned Pending Investigation,Dec-21,Administrator,,
159,4205490,Central York SD,PENNSYLVANIA,Blindspot: Hidden Biases of Good People,"Banaji, Mahzarin R.",Banned in Classrooms,Aug-21,Administrator,,
160,4832940,NORTH EAST ISD,TEXAS,One Man Guy,"Barakiva, Michael",Banned Pending Investigation,Dec-21,Administrator,,
161,4205490,Central York SD,PENNSYLVANIA,Nothing Stopped Sophie: The Story of Unshakable Mathematician Sophie Germain,"Bardoe, Cheryl",Banned in Classrooms,Aug-21,Administrator,,
162,4700149,Collierville,TENNESSEE,Six of Crows (Six of Crows Series),"Bardugo, Leigh",Banned Pending Investigation,Feb-22,Administrator,,
163,4205490,Central York SD,PENNSYLVANIA,"Brand New School, Brave New Ruby (Ruby and the Booker Boys Series)","Barnes, Derrick",Banned in Classrooms,Aug-21,Administrator,,
164,4205490,Central York SD,PENNSYLVANIA,Crown: An Ode to the Fresh Cut,"Barnes, Derrick",Banned in Classrooms,Aug-21,Administrator,,
165,4205490,Central York SD,PENNSYLVANIA,I Am Every Good Thing,"Barnes, Derrick",Banned in Classrooms,Aug-21,Administrator,,
166,4205490,Central York SD,PENNSYLVANIA,Ruby Flips For Attention (Ruby and the Booker Boys Series),"Barnes, Derrick",Banned in Classrooms,Aug-21,Administrator,,
167,4205490,Central York SD,PENNSYLVANIA,Slumber Party Payback (Ruby and the Booker Boys Series),"Barnes, Derrick",Banned in Classrooms,Aug-21,Administrator,,
168,4205490,Central York SD,PENNSYLVANIA,"Trivia Queen, 3rd Grade Supreme (Ruby and the Booker Boys Series)","Barnes, Derrick",Banned in Classrooms,Aug-21,Administrator,,
169,4205490,Central York SD,PENNSYLVANIA,No Mirrors in My Nana's House: Musical CD and Book,"Barnwell, Ysaye M.",Banned in Classrooms,Aug-21,Administrator,,
170,4701590,Hamilton County,TENNESSEE,Peter Pan,"Barrie, James Matthew",Banned Pending Investigation,Oct-21,Administrator,,
171,2006540,Goddard,KANSAS,They Called Themselves The K.K.K.: The Birth of an American Terrorist Group,"Bartoletti, Susan Campbell",Banned Pending Investigation,Nov-21,Administrator,,
172,4821390,GRANBURY ISD,TEXAS,They Called Themselves The K.K.K.: The Birth of an American Terrorist Group,"Bartoletti, Susan Campbell",Banned Pending Investigation,Jan-22,Administrator,,
173,4825740,KLEIN ISD,TEXAS,They Called Themselves The K.K.K.: The Birth of an American Terrorist Group,"Bartoletti, Susan Campbell",Banned Pending Investigation,Nov-21,Administrator,,
174,4832940,NORTH EAST ISD,TEXAS,They Called Themselves The K.K.K.: The Birth of an American Terrorist Group,"Bartoletti, Susan Campbell",Banned Pending Investigation,Dec-21,Administrator,,
175,4700149,Collierville,TENNESSEE,Heart of Thorns (Heart of Thorns Series),"Barton, Bree",Banned Pending Investigation,Feb-22,Administrator,,
176,4700149,Collierville,TENNESSEE,Soul of Cinder (Heart of Thorns Series),"Barton, Bree",Banned Pending Investigation,Feb-22,Administrator,,
177,4700149,Collierville,TENNESSEE,Tears of Frost (Heart of Thorns Series),"Barton, Bree",Banned Pending Investigation,Feb-22,Administrator,,
178,4832940,NORTH EAST ISD,TEXAS,Wonders of the Invisible World,"Barzak, Christopher",Banned Pending Investigation,Dec-21,Administrator,,
179,4700149,Collierville,TENNESSEE,Girls Made of Snow and Glass,"Bashardoust, Melissa",Banned Pending Investigation,Feb-22,Administrator,,
180,4700149,Collierville,TENNESSEE,Cinderella Is Dead,"Bayron, Kalynn",Banned Pending Investigation,Feb-22,Administrator,,
181,4821390,GRANBURY ISD,TEXAS,Cinderella Is Dead,"Bayron, Kalynn",Banned Pending Investigation,Jan-22,Administrator,,
182,4832940,NORTH EAST ISD,TEXAS,Cinderella Is Dead,"Bayron, Kalynn",Banned Pending Investigation,Dec-21,Administrator,,
183,4700149,Collierville,TENNESSEE,The Sky Is Mine,"Beashel, Amy",Banned Pending Investigation,Feb-22,Administrator,,
184,4205490,Central York SD,PENNSYLVANIA,"Sofia Valdez, Future Prez (Questioneers Picture Books Series)","Beaty, Andrea",Banned in Classrooms,Aug-21,Administrator,,
185,4205490,Central York SD,PENNSYLVANIA,Knock Knock: My Dad's Dream for Me,"Beaty, Daniel",Banned in Classrooms,Aug-21,Administrator,,
186,2006540,Goddard,KANSAS,Fun Home: A Family Tragicomic,"Bechdel, Alison",Banned Pending Investigation,Nov-21,Administrator,,
187,2629940,Rochester Community School District,MICHIGAN,Fun Home: A Family Tragicomic,"Bechdel, Alison",Banned Pending Investigation,Apr-22,Administrator,,
188,2922530,Nixa Public Schools,MISSOURI,Fun Home: A Family Tragicomic,"Bechdel, Alison",Banned in Libraries and Classrooms,May-22,Formal Challenge,,
189,2922800,NORTH KANSAS CITY 74,MISSOURI,Fun Home: A Family Tragicomic,"Bechdel, Alison",Banned Pending Investigation,Oct-21,Formal Challenge,,
