,LEA_STATE_NAME,LEAID,LEA_NAME,County Name,banned_books,LEA_ENR,SCH_FTETEACH_TOT,overall_TPI,SATACT_P,APENR_P,P_EXPULSIONS,TOT_DIS_HB,TOT_RAC_HB,TOT_SEX_HB,Median Household Income,number_bans
43,TEXAS,4800069,TWO DIMENSIONS PREPARATORY ACADEMY,harris,FALSE,524,0.053435115,-0.54,,,0,0,0,0,62772,
44,TEXAS,4800070,UNIVERSAL ACADEMY,dallas,FALSE,2162,0.061517114,-0.63,2.127659574,,0,0,0,0,62772,
45,TEXAS,4800071,UNIVERSITY OF TEXAS UNIVERSITY CHARTER SCHOOL,travis,FALSE,638,0.119122257,-0.705,0,,0,0,0,0,46297,
46,TEXAS,4800072,NOVA ACADEMY,dallas,FALSE,182,0.06043956,-0.63,,,0,0,0,0,62772,
47,TEXAS,4800073,THE VARNETT PUBLIC SCHOOL,harris,FALSE,1453,0.054686855,-0.54,,,0,0,0,0,57083,
48,TEXAS,4800074,PINEYWOODS COMMUNITY ACADEMY,angelina,FALSE,1020,0.061764706,0.75,3.921568627,,0,0,0,0,73422,
49,TEXAS,4800075,RICHARD MILBURN ALTER HIGH SCHOOL (KILLEEN),harris,FALSE,2194,0.03252051,-0.54,0.546946217,,1.412944394,0,0,1,49656,
50,TEXAS,4800076,PRIORITY CHARTER SCHOOLS,williamson,FALSE,960,0.075916667,0.52,3.854166667,,0.104166667,1,3,0,43523,
51,TEXAS,4800077,BEXAR COUNTY ACADEMY,bexar,FALSE,373,0.079088472,-0.57,,,0,0,1,0,62772,
52,TEXAS,4800080,HERITAGE ACADEMY,bexar,FALSE,508,0.0625,-0.57,1.57480315,,0,0,0,0,62772,
53,TEXAS,4800086,BRAZOS SCHOOL FOR INQUIRY & CREATIVITY,brazos,FALSE,394,0.075888325,0.61,,,0,0,0,0,51528,
54,TEXAS,4800089,LUMIN EDUCATION,dallas,FALSE,299,0.053511706,-0.63,,,0,0,0,0,,
55,TEXAS,4800090,ACADEMY OF DALLAS,dallas,FALSE,432,0.050925926,-0.63,,,0,0,0,0,62772,
56,TEXAS,4800092,TRINITY BASIN PREPARATORY,dallas,FALSE,2958,0.067275186,-0.63,,,0.507099391,0,0,0,36688,
57,TEXAS,4800093,ACADEMY FOR ACADEMIC EXCELLENCE,dallas,FALSE,521,0.111324376,-0.63,0,,0,0,0,0,62772,
58,TEXAS,4800095,A W BROWN LEADERSHIP ACADEMY,dallas,FALSE,2139,0.050537634,-0.63,,,0,1,0,0,62772,
59,TEXAS,4800098,JEAN MASSIEU ACADEMY,tarrant,FALSE,195,0.082051282,0.53,0,,0,0,0,0,62772,
60,TEXAS,4800105,WAXAHACHIE FAITH FAMILY ACADEMY,dallas,FALSE,2446,0.059280458,-0.63,7.767784137,4.619787408,0,0,0,0,62772,
61,TEXAS,4800106,PASO DEL NORTE ACADEMY CHARTER DISTRICT,el paso,FALSE,217,0.063686636,-0.685,12.90322581,,0,0,0,0,62772,
62,TEXAS,4800108,ODYSSEY ACADEMY INC,galveston,FALSE,1150,0.065217391,0.63,1.565217391,,0,0,0,0,62772,
63,TEXAS,4800109,EAST TEXAS CHARTER SCHOOLS,gregg,FALSE,140,0.082142857,0.71,1.428571429,,0,0,0,0,43523,
64,TEXAS,4800113,AMIGOS POR VIDA-FRIENDS FOR LIFE PUB CHTR SCH,harris,FALSE,513,0.053294347,-0.54,,,0,0,0,0,,
65,TEXAS,4800115,HOUSTON HEIGHTS HIGH SCHOOL,harris,FALSE,194,0.084020619,-0.54,14.94845361,,0,0,0,0,46069,
66,TEXAS,4800118,HOUSTON GATEWAY ACADEMY INC,harris,FALSE,2263,0.049491825,-0.54,0,,0,0,0,0,62772,
