Median Household Income,School District
"$63,542","Booker Independent School District / 1,675"
"$63,542",New Home Independent School District / 883
"$63,393","White Deer Independent School District / 1,787"
"$63,056",Fort Elliott Consolidated Independent School District / 965
"$62,917","Crawford Independent School District / 2,419"
"$62,917",Doss Consolidated Common School District / 265
"$62,788","Iraan-Sheffield Independent School District / 1,703"
"$62,772","Academy Independent School District / 5,003"
"$62,571","Joshua Independent School District / 23,491"
"$62,508","Belton Independent School District / 48,523"
"$62,417","Agua Dulce Independent School District / 1,378"
"$62,292",Three Way Independent School District / 712
"$62,250","Perrin-Whitt Consolidated Independent School District / 1,909"
"$62,175","Hallsville Independent School District / 20,031"
"$62,109","Morgan Mill Independent School District / 1,065"
"$62,087","Gregory-Portland Independent School District / 18,800"
"$62,083","Windthorst Independent School District / 1,523"
"$62,037","Whitehouse Independent School District / 26,213"
"$61,875",Follett Independent School District / 687
"$61,850","Lumberton Independent School District / 20,313"
"$61,731","Union Grove Independent School District / 3,234"
"$61,667",Darrouzett Independent School District / 521
"$61,640","Needville Independent School District / 13,268"
"$61,573","Callisburg Independent School District / 7,599"
"$61,518","Spurger Independent School District / 1,849"
"$61,495","Spring Branch Independent School District / 180,403"
"$61,484",Brookesmith Independent School District / 832
"$61,250","Andrews Independent School District / 16,126"
"$61,184","DeSoto Independent School District / 54,578"
"$60,919","Crowley Independent School District / 90,517"
"$60,819","Poth Independent School District / 3,900"
"$60,784","Ingleside Independent School District / 10,139"
"$60,781",Hartley Independent School District / 754
"$60,770","Medina Valley Independent School District / 21,434"
"$60,767","Pilot Point Independent School District / 7,690"
"$60,636","Redwater Independent School District / 6,092"
"$60,563","Waller Independent School District / 35,420"
"$60,556",Lazbuddie Independent School District / 710
"$60,529","Trenton Independent School District / 3,710"
"$60,524","Azle Independent School District / 36,497"
"$60,382","Crosby Independent School District / 27,185"
"$60,329","Claude Independent School District / 1,881"
"$60,189","Alvord Independent School District / 3,955"
"$60,147","Rio Vista Independent School District / 3,730"
"$60,057","Northside Independent School District / 557,170"
"$60,055","New Braunfels Independent School District / 47,370"
"$60,020","Judson Independent School District / 117,720"
"$60,000",Wildorado Independent School District / 356
"$59,816","Floresville Independent School District / 21,261"
"$59,801","Flour Bluff Independent School District / 31,710"
"$59,799","Carrollton-Farmers Branch Independent School District / 176,223"
"$59,764","Godley Independent School District / 7,167"
