,LEA_STATE_NAME,LEAID,LEA_NAME,LEA_ENR,banned_books,SCH_FTETEACH_TOT,NMCNTY,overall_TPI,Closest_Match,Median Household Income,School District,dist_key,Catholic Church,Non-Religious,Non-denominational Christian Churches,Southern Baptist Convention,United Methodist Church
0,TEXAS,4800001,CROSBYTON CISD,365,False,0.1013698630136986,crosby,0.74,CROSBY,60382.0,"Crosby Independent School District / 27,185",CROSBY,0.3196960841613092,0.2211182544321061,0.00974089226573154,0.3029417494642509,0.07325150983830118
1,TEXAS,4800002,SPUR ISD,261,False,0.10727969348659,dickens,0.865,SPUR,37356.0,"Spur Independent School District / 1,935",SPUR,0.16779661016949152,0.2293785310734463,0.062146892655367235,0.28700564971751413,0.1152542372881356
2,TEXAS,4800003,ROCKSPRINGS ISD,313,False,0.0766773162939297,edwards,0.85,ROCKSPRINGS,41429.0,"Rocksprings Independent School District / 1,711",ROCKSPRINGS,0.34739803094233473,-0.03586497890295348,0.2812939521800281,0.17721518987341772,0.13431786216596342
3,TEXAS,4800004,POR VIDA ACADEMY,273,False,0.0915750915750915,bexar,-0.5700000000000001,ACADEMY,62772.0,"Academy Independent School District / 5,003",ACADEMY,0.27554739803038236,0.46997746505790006,0.09583919766050672,0.04612944452960299,0.016119351582920424
4,TEXAS,4800005,BLACKWELL CISD,155,False,0.1290322580645161,mitchell,0.855,BLACKWELL CONSOLIDATED,46944.0,Blackwell Consolidated Independent School District / 998,BLACKWELL CONSOLIDATED,0.3497219132369299,0.257174638487208,0.0,0.2832035595105673,0.05161290322580645
5,TEXAS,4800006,ASPERMONT ISD,456,False,0.087719298245614,stonewall,0.8300000000000001,ASPERMONT,42232.0,"Aspermont Independent School District / 1,364",ASPERMONT,0.13654618473895583,-0.6698795180722892,0.4819277108433735,0.5493975903614458,0.18072289156626506
6,TEXAS,4800007,PANTHER CREEK CISD,174,False,0.1091954022988505,coleman,0.895,CLEAR CREEK,81718.0,"Clear Creek Independent School District / 220,949",CLEAR CREEK,0.0864133263925039,0.36985944820406036,0.1340447683498178,0.2788912024986986,0.048932847475273294
7,TEXAS,4800008,DRIPPING SPRINGS ISD,6414,False,0.0647022139070782,hays,-0.54,DRIPPING SPRINGS,107413.0,"Dripping Springs Independent School District / 24,679",DRIPPING SPRINGS,0.1704380939738745,0.6093451198214604,0.09512708085304085,0.04619047816582112,0.016978682275052163
8,TEXAS,4800009,WIMBERLEY ISD,2438,False,0.0678342904019688,hays,-0.54,WIMBERLEY,69146.0,"Wimberley Independent School District / 12,149",WIMBERLEY,0.1704380939738745,0.6093451198214604,0.09512708085304085,0.04619047816582112,0.016978682275052163
9,TEXAS,4800010,HAYS CISD,19831,False,0.061837527104029,hays,-0.54,HAYS CONSOLIDATED,71523.0,"Hays Consolidated Independent School District / 75,485",HAYS CONSOLIDATED,0.1704380939738745,0.6093451198214604,0.09512708085304085,0.04619047816582112,0.016978682275052163
10,TEXAS,4800011,ALVARADO ISD,3708,False,0.0609492988133764,johnson,0.78,ALVARADO,56409.0,"Alvarado Independent School District / 17,906",ALVARADO,0.018262962201337208,0.6349074902599388,0.04489598559415763,0.15159481345212225,0.026872009203732623
11,TEXAS,4800012,CHISUM ISD,954,False,0.0775681341719077,lamar,0.8,CHISUM,47344.0,"Chisum Independent School District / 3,418",CHISUM,0.06646302507586647,0.47626177926848745,0.04791566842357451,0.2092517169781185,0.04182638556141192
12,TEXAS,4800014,GEORGE GERVIN ACADEMY,1389,False,0.0454283657307415,bexar,-0.5700000000000001,ACADEMY,62772.0,"Academy Independent School District / 5,003",ACADEMY,0.27554739803038236,0.46997746505790006,0.09583919766050672,0.04612944452960299,0.016119351582920424
13,TEXAS,4800016,TEXANS CAN ACADEMIES,5811,False,0.0536172775770091,dallas,-0.63,MILES,47273.0,"Miles Independent School District / 2,221",MILES,0.1651572829026083,0.4102709008742552,0.0873000173328196,0.08065500457425735,0.05471431648810291
14,TEXAS,4800018,SER-NINOS CHARTER SCHOOL,1110,False,0.0579999999999999,harris,-0.54,HART,43523.0,"Hart Independent School District / 1,534",HART,0.19411495525924485,0.41283325706567864,0.1067213116486601,0.1167550349862454,0.03483004642639361
15,TEXAS,4800019,ARISTOI CLASSICAL ACADEMY,856,False,0.0642523364485981,harris,-0.54,ACADEMY,62772.0,"Academy Independent School District / 5,003",ACADEMY,0.19411495525924485,0.41283325706567864,0.1067213116486601,0.1167550349862454,0.03483004642639361
16,TEXAS,4800020,GEORGE I SANCHEZ CHARTER,916,False,0.0581768558951965,harris,-0.54,HART,43523.0,"Hart Independent School District / 1,534",HART,0.19411495525924485,0.41283325706567864,0.1067213116486601,0.1167550349862454,0.03483004642639361
17,TEXAS,4800022,RAUL YZAGUIRRE SCHOOLS FOR SUCCESS,1287,False,0.0564879564879564,harris,-0.54,,,,,0.19411495525924485,0.41283325706567864,0.1067213116486601,0.1167550349862454,0.03483004642639361
18,TEXAS,4800024,WACO CHARTER SCHOOL,215,False,0.0744186046511627,mclennan,0.65,HART,43523.0,"Hart Independent School District / 1,534",HART,0.19801672429474362,0.4266575587441812,0.05594464634525422,0.17967295906423772,0.0369830262607501
