,LEA_STATE_NAME,LEAID,LEA_NAME,County Name,banned_books,LEA_ENR,SCH_FTETEACH_TOT,overall_TPI,SATACT_P,APENR_P,P_EXPULSIONS,TOT_DIS_HB,TOT_RAC_HB,TOT_SEX_HB
0,TEXAS,4800001,CROSBYTON CISD,crosby,False,365,0.10136986301369863,0.74,6.8493150684931505,,0.0,0,0,0
1,TEXAS,4800002,SPUR ISD,dickens,False,261,0.10727969348659004,0.865,13.026819923371647,,0.0,0,0,0
2,TEXAS,4800003,ROCKSPRINGS ISD,edwards,False,313,0.07667731629392971,0.85,5.111821086261981,,0.0,0,0,0
3,TEXAS,4800004,POR VIDA ACADEMY,bexar,False,273,0.09157509157509157,-0.5700000000000001,0.0,,0.0,0,0,0
4,TEXAS,4800005,BLACKWELL CISD,mitchell,False,155,0.12903225806451613,0.855,0.0,,0.0,0,0,0
5,TEXAS,4800006,ASPERMONT ISD,stonewall,False,456,0.08771929824561403,0.8300000000000001,3.9473684210526314,2.1929824561403506,0.0,0,0,0
6,TEXAS,4800007,PANTHER CREEK CISD,coleman,False,174,0.10919540229885058,0.895,7.471264367816093,,0.0,0,0,0
7,TEXAS,4800008,DRIPPING SPRINGS ISD,hays,False,6414,0.06470221390707827,-0.54,7.811038353601497,9.993763642033054,0.0,0,0,0
8,TEXAS,4800009,WIMBERLEY ISD,hays,False,2438,0.06783429040196882,-0.54,6.480721903199344,13.125512715340443,0.0,0,0,0
9,TEXAS,4800010,HAYS CISD,hays,False,19831,0.061837527104029046,-0.54,4.921587413645303,8.143815238767587,1.2959507841258635,0,0,0
10,TEXAS,4800011,ALVARADO ISD,johnson,False,3708,0.06094929881337648,0.78,4.180151024811219,2.535059331175836,0.026968716289104636,0,0,0
11,TEXAS,4800012,CHISUM ISD,lamar,False,954,0.07756813417190776,0.8,5.345911949685535,,0.0,0,0,0
12,TEXAS,4800014,GEORGE GERVIN ACADEMY,bexar,False,1389,0.04542836573074154,-0.5700000000000001,0.07199424046076314,,0.0,0,0,0
13,TEXAS,4800016,TEXANS CAN ACADEMIES,dallas,False,5811,0.05361727757700912,-0.63,3.0631560832903113,,0.0,0,0,0
14,TEXAS,4800018,SER-NINOS CHARTER SCHOOL,harris,False,1110,0.057999999999999996,-0.54,,,0.0,0,0,0
15,TEXAS,4800019,ARISTOI CLASSICAL ACADEMY,harris,False,856,0.06425233644859812,-0.54,3.0373831775700935,,0.0,0,0,0
16,TEXAS,4800020,GEORGE I SANCHEZ CHARTER,harris,False,916,0.05817685589519651,-0.54,0.0,,0.10917030567685589,0,0,0
17,TEXAS,4800022,RAUL YZAGUIRRE SCHOOLS FOR SUCCESS,harris,False,1287,0.056487956487956494,-0.54,0.0,3.263403263403263,0.0,0,0,0
18,TEXAS,4800024,WACO CHARTER SCHOOL,mclennan,False,215,0.07441860465116279,0.65,,,0.0,0,0,0
19,TEXAS,4800025,DR M L GARZA-GONZALEZ CHARTER SCHOOL,nueces,False,168,0.08333333333333333,0.52,0.0,,0.0,0,0,0
20,TEXAS,4800029,PEGASUS SCHOOL OF LIBERAL ARTS AND SCIENCES,dallas,False,668,0.0658682634730539,-0.63,2.694610778443114,0.8982035928143712,0.0,0,0,0
21,TEXAS,4800030,UPLIFT EDUCATION,dallas,False,17352,0.06476198709082527,-0.63,7.653296449976948,12.263715998155831,0.3112033195020747,0,0,0
22,TEXAS,4800031,UNIVERSITY OF HOUSTON CHARTER SCHOOL,harris,False,126,0.05555555555555555,-0.54,,,0.0,0,0,0
23,TEXAS,4800032,ACADEMY OF ACCELERATED LEARNING INC,harris,False,715,0.0586013986013986,-0.54,,,0.0,0,0,0
24,TEXAS,4800034,CUMBERLAND ACADEMY,smith,False,1778,0.08661417322834646,0.72,0.0,,0.1687289088863892,0,0,0
25,TEXAS,4800035,ALIEF MONTESSORI COMMUNITY SCHOOL,harris,False,279,0.05017921146953405,-0.54,,,0.0,0,0,0
26,TEXAS,4800037,BURNHAM WOOD CHARTER SCHOOL DISTRICT,el paso,False,824,0.07317961165048543,-0.685,44.05339805825243,4.0048543689320395,0.0,0,0,0
27,TEXAS,4800041,ADVANTAGE ACADEMY,dallas,False,1666,0.05702280912364946,-0.63,1.0204081632653061,,0.0,0,0,0
28,TEXAS,4800042,RAPOPORT ACADEMY PUBLIC SCHOOL,mclennan,False,818,0.0974205378973105,0.65,9.290953545232274,0.9779951100244498,0.0,0,0,0
29,TEXAS,4800044,WAYSIDE SCHOOLS,travis,False,2115,0.06855791962174941,-0.7050000000000001,1.1820330969267139,,0.0,0,0,0
30,TEXAS,4800048,RAVEN SCHOOL,walker,False,101,0.0891089108910891,0.685,2.9702970297029703,,,0,0,0
31,TEXAS,4800049,EXCEL ACADEMY,harris,False,478,0.10441422594142259,-0.54,0.0,,0.0,0,0,0
32,TEXAS,4800053,INSPIRE ACADEMIES,bexar,False,861,0.08478513356562137,-0.5700000000000001,0.0,,0.0,0,0,0
33,TEXAS,4800055,LIFE SCHOOL,dallas,False,5662,0.06446132108795478,-0.63,3.2144118685976686,4.945249028611798,0.1412928293889085,0,0,7
34,TEXAS,4800058,NYOS CHARTER SCHOOL,travis,False,996,0.0823293172690763,-0.7050000000000001,3.91566265060241,4.417670682730924,0.1004016064257028,0,0,0
35,TEXAS,4800059,POSITIVE SOLUTIONS CHARTER SCHOOL,bexar,False,125,0.08,-0.5700000000000001,0.0,,0.8,0,0,0
