County Name,Catholic Church,Non-Religious,Non-denominational Christian Churches,Southern Baptist Convention,United Methodist Church
Anderson County,0.08668554262629052,0.4639515210110148,0.08753150788992092,0.18455854424916265,0.029332550671592832
Andrews County,0.14782375067168188,0.345996775926921,0.17195056421278881,0.19656098871574423,0.04830736163353036
Angelina County,0.1399386538572834,0.2965333641993171,0.0706059378436252,0.21066033913999652,0.04087042074194108
Aransas County,0.20663029794376836,0.4163239613932018,0.1468736886277801,0.12849349559378934,0.021191775073436843
Archer County,0.2585280373831776,0.2639018691588785,0.035046728971962614,0.35817757009345796,0.04719626168224299
Armstrong County,0.0,0.5432900432900433,0.16233766233766234,0.08225108225108226,0.17694805194805194
Atascosa County,0.2588758906514771,0.38084155080541426,0.029807476368387743,0.26026418407137464,0.02402972581204957
Austin County,0.21831802963503166,0.3879404647462459,0.055689992375774856,0.07985547121026287,0.06444127689196805
Bailey County,0.22436268829663963,0.39484356894553885,0.09414831981460023,0.13296639629200463,0.04446697566628042
Bandera County,0.2536568989496907,0.37806340223490476,0.11318401995108149,0.0652246894633351,0.05285118219749652
Bastrop County,0.2238931863067808,0.5582620144832127,0.06079246214614878,0.061944535878867675,0.02411125740618828
Baylor County,0.20894660894660894,0.03203463203463208,0.08080808080808081,0.47215007215007215,0.06868686868686869
Bee County,0.30450607144007474,0.46658292266563595,0.021902277192643413,0.12181531226849615,0.02312622797693819
Bell County,0.12592574606026757,0.5312763896645596,0.09719760311023697,0.12054596421932459,0.02729281499647913
Bexar County,0.27554739803038236,0.46997746505790006,0.09583919766050672,0.04612944452960299,0.016119351582920424
Blanco County,0.1715315632143485,0.5451907860031651,0.061543871988746265,0.045806224723052576,0.08352382627044136
Borden County,0.0,0.5657686212361331,0.0,0.40253565768621236,0.0
Bosque County,0.04052646010419523,0.5260762270359199,0.019742253907321084,0.25889772415684126,0.05741705511379216
Bowie County,0.0477538673527607,0.2972452176159668,0.1400105497723187,0.2772975358746084,0.05436362266263335
Brazoria County,0.19284952060446575,0.42841859952530836,0.09903475785620015,0.12431490924143418,0.02039614978321699
Brazos County,0.1577171593635209,0.6023374057618378,0.0453283956741316,0.07205504406689787,0.038948210169810434
