,LEA_STATE_NAME,LEAID,LEA_NAME,banned_books,LEA_ENR,SCH_FTETEACH_TOT,SATACT_P,APENR_P,P_EXPULSIONS,TOT_DIS_HB,TOT_RAC_HB,TOT_SEX_HB,NMCNTY,Median Household Income,PVI_parsed,County Name,Catholic Church,Non-Religious,Non-denominational Christian Churches,Southern Baptist Convention,United Methodist Church
0,FLORIDA,1200002,FL VIRTUAL,False,6748,0.0085951393005334,7.898636633076467,5.853586247777119,0.0,,,,Orange County,55071,-0.7666666666666667,Orange County,0.2838696364101707,0.5086425140638419,0.17124175009937298,0.31903929969508604,0.03722649602945266
1,FLORIDA,1200030,ALACHUA,False,29737,0.0571143693042337,7.694118438309178,8.037125466590442,0.0168140700137875,,,,Alachua County,57729,-0.7666666666666667,Alachua County,0.09837755146013187,0.5352176910812014,0.12263527586652685,0.07332260798368215,0.04615970237154718
2,FLORIDA,1200060,BAKER,False,5044,0.0585408406026962,8.068992862807296,0.7335448057097541,0.6938937351308485,,,,Baker County,52358,0.8,Baker County,0.02261226511907711,0.6677164797055806,0.1312856081248452,0.09582787784422662,0.011536147775929793
3,FLORIDA,1200090,BAY,False,28073,0.0619545470737007,7.020981013785487,7.9293271114594095,0.2956577494389627,,,,Bay County,54430,0.3999999999999999,Bay County,0.06578166377499772,0.6314206465162999,0.06540498584604146,0.12429230207287005,0.02685827778285088
4,FLORIDA,1200120,BRADFORD,False,3214,0.0538425637834474,6.969508400746734,2.955818294959552,0.3111387678904792,,,,Bradford County,44411,0.5333333333333333,Bradford County,0.005158463767091828,0.5934353248772215,0.027205596579867857,0.21556018796594,0.053209907076988305
5,FLORIDA,1200150,BREVARD,True,73465,0.062214387803716,10.458041244129856,5.44476961818553,0.3266861770911318,,,,Brevard County,58660,-0.0333333333333333,Brevard County,0.18115038937574596,0.5786845627847783,0.0903839686653083,0.03452948507447924,0.022404766143762404
6,FLORIDA,1200180,BROWARD,True,271956,0.0560145758872758,10.682610422274193,6.853314506758446,0.1014870052508494,,,,Broward County,61372,-0.9333333333333332,Broward County,0.18925053037608486,0.5561067180970749,0.09884924461587914,0.03928460302153648,0.006722982963677274
7,FLORIDA,1200210,CALHOUN,False,2237,0.0606392489941886,7.599463567277604,0.6258381761287439,0.0447027268663388,,,,Calhoun County,36371,0.6666666666666666,Calhoun County,0.27927847006411155,0.7868353121189232,0.021461940461159602,0.36650630760136577,0.07536564852238586
8,FLORIDA,1200240,CHARLOTTE,False,15901,0.0573542544494057,7.986919061694234,4.9682409911326335,0.2201119426451166,,,,Charlotte County,50366,0.1333333333333333,Charlotte County,0.2647995418711566,0.5204579147644864,0.0753022526452124,0.016564354792958945,0.02580185927523589
9,FLORIDA,1200270,CITRUS,False,15542,0.0627737742890233,6.903873375369965,3.4808904902843905,0.3281430961266246,,,,Citrus County,43488,0.3333333333333332,Citrus County,0.17491858583100953,0.6278803715476167,0.03426870250840142,0.044727416912046694,0.013370774100869069
10,FLORIDA,1200300,CLAY,True,37521,0.0675448415553956,9.181525012659575,7.020068761493564,0.4744010021054876,,,,Clay County,66470,0.3333333333333332,Clay County,0.14738427004356866,0.6009347293179683,0.16812725454347666,0.45050826482890627,0.05313018551641928
11,FLORIDA,1200330,COLLIER,False,46832,0.0583227280491971,10.112743423300309,5.272036214554151,0.3907584557567475,,,,Collier County,63514,0.0999999999999999,Collier County,0.3583134620707275,0.38366262854223,0.07677936511315975,0.04951404117609487,0.01860269539483489
12,FLORIDA,1200360,COLUMBIA,False,10187,0.06243251202513,8.481397860017669,6.478845587513497,0.0098164327083537,,,,Columbia County,43520,0.4333333333333332,Columbia County,0.030675198714453785,0.4308158053315734,0.2705959998852191,0.14432264914344745,0.019326236046945392
13,FLORIDA,1200390,DADE,False,354832,0.0542848446588808,8.61196284438833,8.361703566758354,0.0701740542002976,,,,Miami-Dade County,50628,,Miami-Dade County,0.29890327330224997,0.48639168366480157,0.07238966202488964,0.026994185657016317,0.004181337620897731
14,FLORIDA,1200420,DESOTO,False,4836,0.0593465674110835,7.320099255583126,3.184449958643507,0.3928866832092638,,,,DeSoto County,41738,0.1666666666666666,DeSoto County,0.05636331528137509,0.6621732987991523,0.030904167647751352,0.10713444784553802,0.034700965387332236
15,FLORIDA,1200450,DIXIE,False,2187,0.0576131687242798,6.95016003657979,5.715592135345222,0.182898948331047,,,,Dixie County,35727,0.7666666666666666,Dixie County,0.014917357837579808,0.7932454203711439,0.0,0.10561489349006505,0.023629094814726415
16,FLORIDA,1200480,DUVAL,True,129489,0.0580975990238553,9.1320498266262,6.558858281398421,0.229363111924565,,,,Duval County,56111,-0.4,Duval County,0.7441551425646066,0.3369647648023689,0.21555153997671678,0.35627501223144964,0.02346471575874552
17,FLORIDA,1200510,ESCAMBIA,True,40258,0.0650665706195041,8.934870087932833,6.274529286104626,0.5390232997168265,,,,Escambia County,51726,-0.0333333333333333,Escambia County,0.08302760131094578,0.4658672589739209,0.19213743185101195,0.09184386697938833,0.03855485313990152
18,FLORIDA,1200540,FLAGLER,True,13026,0.0568524489482573,9.903270382312298,5.512052817442039,0.0230308613542146,,,,Flagler County,52726,0.0333333333333332,Flagler County,0.24023644022257276,0.5524190053563072,0.08883842673646622,0.03380193797777739,0.010201251538421536
19,FLORIDA,1200570,FRANKLIN,False,1305,0.0599463601532567,8.582375478927203,2.452107279693487,0.9195402298850576,,,,Franklin County,39618,0.3333333333333332,Franklin County,0.10090105583808405,0.6152606837395118,0.2805314430792473,0.29563043031763964,0.08995217231855854
